neg,neg_pol_score
 숙박/NNG,0.7142638241459155
 조달청/NNG,0.6093981068688941
 투자/NNG;매력/NNG;크/VV,0.6787295598876234
 종언/NNG,0.7047096387349967
 비전통적/VAX,0.6573048480252607
 폐기/NNG,0.6521515788473569
 영구/NNG,0.6693082126133013
 금융시장/NNG;불안/NNG,0.7348902264600503
 산단/VV,0.3742251185006534
 하한/NNG,0.5221423748140129
 돌봄/VV,0.4167637648432776
 소득대체율/NNG,0.5131857647930812
 사적연금/NNG,0.2914212791761264
 통합지원센터/NNG,0.4138770894157917
 영화관/NNG,0.6313219861030477
 입점/NNG,0.6043157052389148
 혈세/NNG,0.6183279254695981
 공무원연금/NNG,0.5675611790225956
 위탁운용사/NNG,0.7443186114039426
 유동성/NNG;위기/NNG;빠지/VV,0.5395029835004187
 신용/NNG;거품/NNG,0.6644405165215683
 로즈/NNG,0.7139081691898406
 투자/NNG;수요/NNG;줄/VV,0.6752444273593173
 분양계획/NNG,0.6944717263078538
 대출보증/NNG,0.6766241016313285
 시티/NNG,0.7468040958128634
대외변수/NNG,0.6491660218888886
출범/NNG,0.5902390375191596
갱신/NNG,0.4978224053449058
이머징채권/NNG,0.2896279174581195
위험자산/NNG,0.6943898527806284
현상/NNG,0.7211123156343975
소외/NNG,0.5913305567748585
등락/NNG,0.6860803260899982
유동성비율/NNG,0.3147349815102165
흔들/VV,0.7185425433121285
본질/NNG,0.7555164751724998
측면/NNG,0.7502989752695386
여신/NNG,0.7564213530527871
늘/MAG,0.7565411821780234
상위/NNG,0.6917078400722422
폭우/NNG,0.7468517433769566
이어서/MAG,0.7458005797691072
개발공사/NNG,0.5085488931888971
지브/NNG,0.7292639815480628
고정비/NNG,0.6530825589741911
가동/NNG,0.6717021615108749
신차/NNG,0.6072843430573474
감시/NNG,0.6530825589741911
제고/NNG,0.7515253479245211
위/NNG,0.7574824153343297
지위/NNG,0.6152227004829335
무산/NNG,0.6206312516959703
회사채/NNG;스프레드/NNG;축소/NNG,0.6259222257087238
 투자/NNG;촉진/NNG,0.6248462957977503
 채권/NNG;부실/NNG,0.6752444273593173
 디폴트/NNG,0.5921676703398162
 마비/NNG,0.7433238655149964
 지어야/VV,0.7136583325602031
 롤오버/NNG,0.5704792313569019
 pbr/NNG,0.7337734399846885
 전수조사/NNG,0.6391284968445561
 보험기간/NNG,0.7506542748174316
